"Common/ButtonExit","ZAVŘÍT"
"OW/TargetWindow/PlayerInAdmiraltyEventArea","Player in admiralty event area"
"OW/TargetWindow/AdmiraltyEventArea","Admiralty Event Area"
"OW/TargetWindow/PlayerIsntInRookieBattlesArea","Player is not in rookie battles area"
"OW/TargetWindow/HoldsConquestFlag","Drží Dobývací vlajku"
"OW/TargetWindow/HasDeadmanChest","Má truhlu mrtvého muže"
"OW/SailState/Stop","Stop"
"OW/SailState/DeadSlow","Dead
Slow"
"OW/SailState/BattleSails","Battle
Sails"
"OW/SailState/Slow","Slow"
"OW/SailState/Half","Half"
"OW/SailState/Full","Full"
"OW/Compass/SpeedIndicatorText","{0}
<size=10>Kn</size>"
"OW/CollisionPanel/ShallowsWarning","Shallows!"
"OW/TechnicalInfoPanel/FPS","FPS:"
"OW/TechnicalInfoPanel/Online","Online:"
"OW/TechnicalInfoPanel/Ping","Ping:"
"OW/HoldWindow/SearchPlaceholder","Search..."
"OW/HoldWindow/WeightCaption","Weight:"
"OW/HoldWindow/SlotsCaption","Slots:"
"OW/HoldWindow/SortButton","Sort"
"OW/FreetWindow/Caption","Fleet"
"OW/FleetWindow/PlayerInfo","Player Information"
"OW/FleetWindow/PlayerRank","Rank: {0}"
"OW/FleetWindow/PlayerXPToNextRank","XP to next rank"
"OW/FleetWindow/PlayerDaysAtSee","Days at sea"
"OW/FleetWindow/PlayerTime","West-Indies time"
"OW/FleetWindow/PlayerUpgrades","Upgrades"
"OW/FleetWindow/PlayerMoney","Money"
"OW/FleetWindow/PlayerPerks","Perks"
"OW/FleetWindow/ShipWeightFull","FULL"
"OW/FleetWindow/ShipHull","HULL"
"OW/FleetWindow/ShipSails","SAILS"
"OW/FleetWindow/ShipRudder","RUDDER"
"OW/FleetWindow/ShipPump","PUMP"
"OW/FleetWindow/ShipMagazine","MAGAZINE"
"OW/FleetWindow/ShipCrew","CREW"
"OW/FleetWindow/ShipStatStructure","Structure"
"OW/FleetWindow/ShipStatSails","Sails"
"OW/FleetWindow/ShipStatRudder","Rudder"
"OW/FleetWindow/ShipStatPump","Pump"
"OW/FleetWindow/ShipStatMagazine","Magazine"
"OW/FleetWindow/ShipStatLeft","Left"
"OW/FleetWindow/ShipStatBow","Bow"
"OW/FleetWindow/ShipStatRight","Right"
"OW/FleetWindow/ShipStatStern","Stern"
"OW/FleetWindow/ShipCondition","Condition"
"OW/FleetWindow/ShipHoldSign","Nákladový prostor_"
"OW/FleetWindow/ShipHoldFullSign","FULL"
"OW/FleetWindow/ShipCrewSign","Crew"
"OW/FleetWindow/HullRepairs","Hull Repairs"
"OW/FleetWindow/NoHullRepairs","You have no hull repairs"
"OW/FleetWindow/HullRepairsUsed","Repairs used:"
"OW/FleetWindow/HullAmountRepaired","Množství repaired:"
"OW/FleetWindow/HullRepairOkSign","OK"
"OW/FleetWindow/SailRepairs","Sail Repairs"
"OW/FleetWindow/NoSailRepairs","You have no sail repairs"
"OW/FleetWindow/SailRepairsUsed","Repairs used:"
"OW/FleetWindow/SailAmountRepaired","Množství repaired:"
"OW/FleetWindow/SailRepairOkSign","OK"
"OW/FleetWindow/CrewRepairs","Recover Crew"
"OW/FleetWindow/NoCrewRepairs","You have no rum"
"OW/FleetWindow/UsedBaseShipCrewRepairs","Used BaseShip crew healing"
"OW/FleetWindow/CrewRepairsUsed","Rum used:"
"OW/FleetWindow/CrewAmountRepaired","Crew healed:"
"OW/FleetWindow/SinkShipConfirmationCaption","Sink ship?"
"OW/FleetWindow/SinkShipConfirmationMessage","Are you sure that you want to sink ship {0}?"
"OW/FleetWindow/SendingCrewCaption","Please wait"
"OW/FleetWindow/SendingCrewMessage","Sending crew to ships..."
"OW/FleetWindow/AvailableCrew","Available crew"
"OW/FleetWindow/CrewOnShips","On Ships:"
"OW/FleetWindow/FreeCrew","Free Crew:"
"OW/FleetWindow/RepairCrew","USE
RUM"
"OW/FleetWindow/ApplyChanges","APPLY
CHANGES"
"OW/FleetWindow/AvailableRepairs","AVAILABLE REPAIRS"
"OW/FleetWindow/ShipSlotAvailable","Available"
"OW/MoneyChest/Caption","Money Chest"
"OW/UpgradesChest/Caption","Upgrades Chest"
"OW/UpgradesChest/SearchPlaceholder","Search..."
"OW/UpgradesChest/SortSign","Sort"
"OW/CombatWindow/OpenWorldBattle","Open World Battle"
"OW/CombatWindow/PortBattle","Port Battle"
"OW/CombatWindow/Event","Event"
"OW/CombatWindow/ShipWreck","Shipwreck"
"OW/CombatWindow/StatShips","Ships"
"OW/CombatWindow/StatBR","BR"
"OW/CombatWindow/StatPortBattleBRLimit","Port battle BR limit"
"OW/CombatWindow/StatShipRequired","Ship required"
"OW/CombatWindow/StatShipRequiredFromTo","{0} to {1}"
"OW/CombatWindow/NotAvailable","N/A"
"OW/CombatWindow/StatPort","Port:"
"OW/CombatWindow/MaxGroupSize","Max group size:"
"OW/CombatWindow/Rewards","Rewards:"
"OW/CombatWindow/StatXP","Xp"
"OW/CombatWindow/StatTotalWeight","Total weight:"
"OW/CombatWindow/StatUpgradeSlotsNeeded","Upgrade slots needed:"
"OW/CombatWindow/StatHoldSlotsNeeded","Nákladový prostor slots needed:"
"OW/CombatWindow/Contains","Contains:"
"OW/CombatWindow/NpcFleetNotJoin","NPC fleet doesn't join"
"OW/CombatWindow/StatMaxGroupSize","Max Group Size"
"OW/CombatWindow/StatBRLimit","BR Limit:"
"OW/CombatWindow/PBShipRequired","{0}Ship required:"
"OW/CombatWindow/PBNpcFleetNotJoin","NPC fleet doesn't join. "
"OW/CombatWindow/PBFromTo","from {0} to {1}"
"OW/CombatWindow/StatClans","Clans:"
"OW/CombatWindow/GroupMembersAbleToJoin","Group members that are able to join:"
"OW/CombatWindow/FleetSearchAndDestroyOrder","Fleet search and destroy order"
"OW/CombatWindow/SearchAndDestroyOrder","Search and destroy order"
"OW/CombatWindow/EnterCombat","ENTER"
"OW/CombatWindow/JoinCombat","JOIN"
"OW/CombatWindow/MaximumAllowedShipsCount","Only first {0} ships will be allowed for the battle"
"OW/CombatWindow/TooFar","Too far..."
"OW/CombatWindow/CantUseQuestsFor","You can't use quests for {0} more seconds"
"OW/CombatWindow/MaximumAllowedClass","Maximum allowed class"
"OW/CombatWindow/MaximumAllowedClassFailed","Can't start combat. Your ship class is rank {0}."
"OW/CombatWindow/AllowedShip","Allowed ship"
"OW/CombatWindow/AllowedShipFailed","Can't start combat."
"OW/CombatWindow/RewardsIncreaseHostility","Increase hostility"
"OW/CombatWindow/IncreaseHostilityDescription","Destroy ships to increase hostility for {0}"
"OW/SetTargetWindow/Clan","Clan:"
"OW/SetTargetWindow/Rank","Rank:"
"OW/SetTargetWindow/Location","Location:"
"OW/SetTargetWindow/Status","Status:"
"OW/SetTargetWindow/Fleet","Fleet:"
"OW/SetTargetWindow/ButtonMessage","Message"
"OW/SetTargetWindow/ButtonToGroup","To group"
"OW/SetTargetWindow/ButtonTrade","Trade"
"OW/SetTargetWindow/ButtonAttack","ATTACK"
"OW/SetTargetWindow/FleetSize","FLEET:"
"OW/SetTargetWindow/NoFleet","No Fleet"
"OW/SetTargetWindow/FleetShipSizeSmall","Small"
"OW/SetTargetWindow/FleetShipSizeMedium","Medium"
"OW/SetTargetWindow/FleetShipSizeLarge","Large"
"OW/SetTargetWindow/FleetClanRank","Rank:"
"OW/ShipTooltip/ShipImported","Imported"
"OW/ShipTooltip/ShipStandard","Standard"
"OW/ShipTooltip/CraftedBy","Crafted by {0}"
"OW/ShipTooltip/CraftedByAdmiralty","Crafted by Admiralty"
"OW/ShipTooltip/Stat/Rate","Rank:"
"OW/ShipTooltip/Stat/GunsCount","Guns:"
"OW/ShipTooltip/Stat/UpgradesCount","Upg:"
"OW/ShipTooltip/Stat/DecksCount","Decks:"
"OW/ShipTooltip/Stat/BR","BR:"
"OW/ShipTooltip/GeneralInfo","General"
"OW/ShipTooltip/Stat/Speed","Speed"
"OW/ShipTooltip/Stat/TurnRate","Turn rate"
"OW/ShipTooltip/Stat/Crew","Crew"
"OW/ShipTooltip/Stat/MinCrew","Min crew"
"OW/ShipTooltip/Stat/Planking","Planking"
"OW/ShipTooltip/HitPoints","Hit Points"
"OW/ShipTooltip/Thickness","Thickness"
"OW/ShipTooltip/PermanentUpgrades","Permanent upgrades"
"OW/ShipTooltip/Stat/Paint","Paint:"
"OW/ShipTooltip/None","None"
"OW/ShipTooltip/Stat/Rudder","Rudder"
"OW/ShipTooltip/Stat/Pump","Pump"
"OW/ShipTooltip/Stat/Hold","Nákladový prostor_"
"OW/ShipTooltip/Stat/CargoSlots","Cargo slots"
"OW/ShipTooltip/Stat/Sides","Sides"
"OW/ShipTooltip/Stat/Bow","Bow"
"OW/ShipTooltip/Stat/Stern","Stern"
"OW/ShipTooltip/Stat/Hull","Hull"
"OW/ShipTooltip/Stat/Sails","Sails"
"OW/ShipTooltip/Stat/MainMast","Main mast"
"OW/ShipTooltip/NoUpgrades","No upgrades"
"OW/ShipTooltip/Stat/Frame","Frame"
"OW/Port/DeepWaterHarbor","Deep water harbor"
"OW/Port/ShallowWaterPort","Shallow water port"
"OW/Map/Draw","draw"
"OW/Map/LastRoundWinner","Last round winner - {0}"
"OW/Map/DaysUntilRoundEnds","Days until round end - {0}"
"OW/Map/ConquestMenu/EarnedClanHostilityPoints","Earned clan hostility points"
"OW/Map/ConquestMenu/GlobalHostilityLevels","Global hostility levels"
"OW/Map/ConquestMenu/NationHostilityLevels","Nation hostility levels"
"OW/Map/ConquestMenu/PortBattles","Port battles"
"OW/Map/ConquestMenu/Contested","Contested"
"OW/Map/HostilityOrderSearchAndDestroy","[HostilityOrder] Search and destroy near {0}."
"OW/Map/MaxAllowedShipClassForMission","Max allowed class of the ship for this mission is rank {0}."
"OW/Map/SearchAndDestroy","Search and destroy near {0}."
"OW/Map/FleetSearchAndDestroy","Fleet Search and destroy near {0}."
"OW/Map/Rewards","Rewards: <color=orange>{0}</color> {1} and <color=cyan>{2}</color> XP."
"OW/Map/AdmiraltyEventArea","Admiralty event area"
"OW/Map/Area","{0} Area"
"OW/Map/FinishInHours","{0}h"
"OW/Map/FinishIn","Finish in: {0}"
"OW/Map/BattleRatingLimit","Battle Rating Limit: {0}"
"OW/Map/DamageInflicted","Damage inflicted: {0}/{1}"
"OW/Map/Tiers","Tiers:"
"OW/Map/Protractor/ShowProtractorButton","show protractor"
"OW/Map/Protractor/HideProtractorButton","hide protractor"
"OW/Map/MoreButton","more ▼"
"OW/Map/LessButton","less ▲"
"OW/Map/Protractor/SetPositionHelp","DOUBLE CLICK LEFT MOUSE BUTTON TO SET PROTRACTOR POSITION"
"OW/Map/Protractor/SetDirectionHelp","DRAG RIGHT MOUSE BUTTON TO SET PROTRACTOR DIRECTION"
"OW/Map/ConquestCompetition/Button","Conquest Competition"
"OW/Map/ConquestCompetition/OrderNum","№"
"OW/Map/ConquestCompetition/Nation","Nation"
"OW/Map/ConquestCompetition/Control","Control"
"OW/Map/ConquestCompetition/Combat","Combat"
"OW/Map/ConquestCompetition/Total","Total"
"OW/Map/ConquestCompetition/Last","Last"
"OW/Map/PVPLeaderboard/Button","PVP Leaderboard"
"OW/Map/PVPLeaderboard/UpdatePeriod","The leaderboard updates every 5 minutes."
"OW/Map/PVPLeaderboard/OrderNum","№"
"OW/Map/PVPLeaderboard/Name","Name"
"OW/Map/PVPLeaderboard/Nation","Nation"
"OW/Map/PVPLeaderboard/Score","Score"
"OW/Map/ConquestInformation/Button","Conquest information"
"OW/Map/ConquestInformation/HostilityGained","Hostility is gained 24/7."
"OW/Map/ConquestInformation/PBScheduled","Port battles scheduled between
{0} and {1}"
"OW/Map/TraderTool/Button","Trader tool"
"OW/Map/TraderTool/PortAndCountySearch","Port and county search"
"OW/Map/TraderTool/Search","Search:"
"OW/Map/PB/ShowInformationButton","[+] Conquest information"
"OW/Map/PB/HideInformationButton","[-] Conquest information"
"OW/Map/PB/ActiveAssaultFleets"," Active assault fleets:"
"OW/Map/PB/FleetDescription","  - {0} against {1}, led by {2}. {3}."
"OW/Map/PB/CapturedPorts"," Captured ports:"
"OW/Map/PB/CapturedPortDescription","  - {0} {1} captured by {2}"
"OW/Map/Defend","defend"
"OW/Map/Attack","attack"
"OW/Map/TraderTool/Name","Name"
"OW/Map/TraderTool/Buy","Buy"
"OW/Map/TraderTool/Sell","Sell"
"OW/Map/TraderTool/Weight","Weight: {0}"
"OW/Map/TraderTool/Distance","Distance:"
"OW/Map/TraderTool/PortButton","Port"
"OW/Map/TraderTool/DistanceButton","Distance"
"OW/Map/PortSearchTool/Search","Search:"
"OW/Map/PortInfo/Capital","CAPITAL"
"OW/Map/PortInfo/RookieCapital","ROOKIE CAPITAL"
"OW/Map/PortInfo/CountyCapital","COUNTY CAPITAL"
"OW/Map/PortInfo/ShallowWater","SHALLOW WATER"
"OW/Map/PortInfo/Nation","nation"
"OW/Map/PortInfo/ContestedBy","contested by"
"OW/Map/PortInfo/Region","region"
"OW/Map/PortInfo/County","county"
"OW/Map/PortInfo/RegionalBonuses","regional bonuses"
"OW/Map/PortInfo/MinutesAgo","{0} minutes ago"
"OW/Map/PortInfo/AMinuteAgo","a minute ago"
"OW/Map/PortInfo/HoursAgo","{0} hours ago"
"OW/Map/PortInfo/AHourAgo","an hour ago"
"OW/Map/PortInfo/DaysAgo","{0} days ago"
"OW/Map/PortInfo/ADayAgo","a day ago"
"OW/Map/PortInfo/LastVisit","last visit"
"OW/Map/PortInfo/PBBRLimit","port battle BR limit"
"OW/Map/PortInfo/PB","port battle"
"OW/Map/PortInfo/CantGainHostilityTill","port can't gain hostility till"
"OW/Map/PortInfo/TopHostilityLevels","top hostility levels"
"OW/Map/PortInfo/Capturer","capturer"
"OW/Map/PortInfo/EntryRights","entry rights"
"OW/Map/PortInfo/AvailableForAll","Available for all"
"OW/Map/PortInfo/DailyTax","taxes / daily tax"
"OW/Map/PortInfo/Taxes","taxes"
"OW/Map/PortInfo/PBWindow","port battle window"
"OW/Map/PersonalPointOfInterest/ShipWreckFound"," shipwreck found
belongs to"
"OW/Map/PersonalPointOfInterest/Contains","Contains:"
"OW/Map/PersonalPointOfInterest/TotalWeight","Total weight: {0}"
"OW/Map/PersonalPointOfInterest/UpgradeSlotsNeeded","Upgrades slots needed: {0}"
"OW/Map/PersonalPointOfInterest/HoldSlotsNeeded","Nákladový prostor slots needed: {0}"
"OW/Map/PersonalPointOfInterest/Description","{0} found
Owner: {1}"
"OW/Map/MegaShipWreckPoints/LastKnownLocation","Last known fleet location"
"OW/Map/MegaShipWreckPoints/ShipWreckFound"," shipwreck found
belongs to"
"OW/Map/MegaShipWreckPoints/InspectShipHold","Inspect the ship Nákladový prostor"
"OW/Map/MegaShipWreckPoints/Description","{0} found
Owner: {1}"
"OW/Map/TimeSpan/Days"," days"
"OW/Map/TimeSpan/Hours","h"
"OW/Map/TimeSpan/Minutes","m"
"OW/Map/TimeSpan/Seconds","s"
"OW/Quests/MissionsTab","Missions"
"OW/Quests/OperationsTab","Operations"
"OW/Quests/EventsTab","Events"
"OW/Quests/JournalTab","Journal"
"OW/Quests/YourMissions","Your missions:"
"OW/Quests/NoMissionsSelected","No missions selected"
"OW/Quests/YourRewards","Your Rewards"
"OW/Quests/Hostility/Information","Information"
"OW/Quests/Hostility/Tax","Tax (money)"
"OW/Quests/Hostility/PortBR","Port BR"
"OW/Quests/Hostility/HarborDepth","Harbor Depth"
"OW/Quests/Hostility/AttackWindow","Attack Window"
"OW/Quests/Type/Battle","Battle Missions"
"OW/Quests/Type/Hostility","Hostility Missions"
"OW/Quests/Hostility/Title","Hostility"
"OW/Quests/Hostility/Description","Join the battle indicated on your map with swords near {0}. Destroy all designated targets and enemy players. Battle is open all the time.
Max allowed class: Any"
"OW/Quests/Hostility/PortDepthDeep","Deep"
"OW/Quests/Hostility/PortDepthShallow","Shallow"
"OW/Quests/Kill/Title","Kill mission"
"OW/Quests/Kill/TitleShort","Kill"
"OW/Quests/Kill/Description","Join the battle indicated on your map with swords near {0}. Destroy all designated targets to complete mission."
"OW/Quests/Kill/MaxAllowedClass","Max allowed class: rank {0} (or lower)"
"OW/Quests/Kill/PlayerShip","Player ship: {0}"
"OW/Quests/Kill/TargetRate","Target(s): {0}x rank {1}"
"OW/Quests/Kill/TargetShip","Target(s): {0}x rank {1}"
"OW/Quests/Kill/Rewards","Reward: {0} {1}"
"OW/Quests/Kill/Completed","Mission completed"
"OW/Quests/Kill/Failed","Mission failed"
"OW/Quests/Kill/CompletedFull","Kill mission Completed. Please claim rewards in a friendly port."
"OW/Quests/Kill/FailedFull","Kill mission Failed."
"OW/Quests/Hunt/Title","Hunt mission"
"OW/Quests/Hunt/TitleShort","Hunt"
"OW/Quests/Hunt/Description","Find and destroy designated targets in the open world."
"OW/Quests/Hunt/TargetRate","Target(s): {0}x rank {1}"
"OW/Quests/Hunt/TargetShip","Target(s): {0}x {1}"
"OW/Quests/Hunt/Rewards","Raward: {0} {1}"
"OW/Quests/Hunt/Completed","Mission completed"
"OW/Quests/Hunt/Failed","Mission failed"
"OW/Quests/Hunt/CompletedFull","Rank {0} Hunt mission Completed. Please claim rewards in a friendly port."
"OW/Quests/Hunt/FailedFull","Rank {0} Hunt mission Failed."
"OW/Quests/Hunt/Progress","Destroyed {0}/{1}"
"OW/Quests/SearchAndDestroy/Title","Search and destroy mission"
"OW/Quests/SearchAndDestroy/TitleShort","Search and destroy"
"OW/Quests/SearchAndDestroy/CompletedFull","{0} Search and destroy mission Completed. Please claim rewards in a friendly port."
"OW/Quests/SearchAndDestroy/FailedFull","{0} Search and destroy mission Failed."
"OW/Quests/Delivery/Title","Delivery mission"
"OW/Quests/Delivery/TitleShort","Delivery"
"OW/Quests/Delivery/CompletedFull","{0} Delivery mission Completed. Please claim rewards in a friendly port."
"OW/Quests/Delivery/FailedFull","{0} Delivery mission Failed."
"OW/Quests/WhereToFind","Where to find: {0}"
"OW/Quests/AnyShipClass","Any"
"OW/Quests/ShipRate","Rank {0}"
"OW/Quests/AvailableMissions","Available missions"
"OW/Quests/List/Type/Battle","Battle"
"OW/Quests/List/Type/Economy","Economy"
"OW/Quests/List/Type/Conquest","Conquest"
"OW/Quests/TakenMissionsLabel","Taken Missions:"
"OW/Quests/Hostility/TakeButton","Take hostility mission"
"OW/Quests/Events/DailyPatrolButton","DAILY PATROL"
"OW/Quests/Events/Patrol/BRLimit","BR Limit"
"OW/Quests/Events/Patrol/Damage","Damage"
"OW/Quests/Events/Patrol/FinishIn","Finish in"
"OW/Quests/Events/Patrol/DamageTiers","Damage Tiers:"
"OW/Quests/Events/Patrol/NextTier","Next tier"
"OW/Quests/Events/Patrol/CurrentReward","Current reward"
"OW/Quests/Events/Patrol/TakeButton","TAKE PATROL"
"OW/Quests/Events/Challenge/LeaderboardButton","LEADER 
BOARD"
"OW/Quests/Events/Challenge/KillsLeft","Kills Left"
"OW/Quests/Events/Challenge/YourPosition","Your position"
"OW/Quests/Events/Challenge/Reward","Your reward"
"OW/Quests/Events/Challenge/TakeButton","ACCEPT"
"OW/Quests/Events/Challenge/Leaderboard/YourPosition","Your position:"
"OW/Quests/Events/Challenge/Leaderboard/Reward","Reward:"
"OW/Quests/TakeMissionButton","Take mission"
"OW/Quests/ClaimButton","Claim rewards"
"OW/Quests/AbandonButton","Abandon"
"OW/BugReporter/Title","Naval Action Bug Reporter"
"OW/BugReporter/PositionX","Position       X:"
"OW/BugReporter/PositionZ","Z:"
"OW/BugReporter/BugTitle","Bug name:"
"OW/BugReporter/BugDescription","Description:"
"OW/BugReporter/SendReport","Send report"
"OW/BugReporter/Cancel","Cancel"
"OW/BugReporter/PreviewScreenshot","Preview screenshot"
"OW/BugReporter/BugReporterButton","F11
Report bug"
"OW/BugReporter/PreparingReport","Preparing report"
"OW/BugReporter/SendingReport","Send request"
"OW/BugReporter/ReportType/Other","Other"
"OW/BugReporter/ReportType/Graphics","Graphics"
"OW/BugReporter/ReportType/Gameplay","Gameplay"
"OW/BugReporter/ReportType/Audio","Audio"
"OW/BugReporter/ReportPriority/Trivial","Trivial"
"OW/BugReporter/ReportPriority/Minor","Minor"
"OW/BugReporter/ReportPriority/Major","Major"
"OW/CombatWindow/YourShipIsNotAllowedForCombat","Your ship {0} is not allowed for this combat"
"OW/CombatWindow/YouAreNotInClanList","You can't join combat. You are not in attacker/defender clan list"
"OW/CombatWindow/CapitalBattle","Capital Battle"
"OW/CombatWindow/NationAllowedToJoin","{0} are free to join"
"OW/CombatWindow/FrigatePatrolBattle","Frigate Patrol Battle"
"OW/CombatWindow/DailyPatrolBattle","Daily Patrol Battle"
"OW/CombatWindow/EpicEvent","Epic Event"
"OW/CombatWindow/AllowedClass","Allowed Class"
"OW/CombatWindow/CombatOrder","Combat Order"
"OW/CombatWindow/HostilityOrder","Hostility Order"
"OW/CombatWindow/Smuggler","{0} Smuggler"
"OW/CombatWindow/Join","Join"
"OW/CombatWindow/StayOutsideAttackersArea","To join combat you must stay outside designated attackers area circle"
"OW/CombatWindow/StayWithinDefenderArea","To join combat you must stay within defender area circle"
"OW/CombatWindow/StayOutsideAttackersOrWithinDefenderArea","To join combat you must stay outside attacker or within defender areas"
"OW/CombatWindow/StayWithinJoinAreas","To join combat you must stay within designated join areas shown by circles"
"OW/CombatWindow/CombatTooFar","Combat is too far"
"OW/CombatWindow/WreckTooFar","Shipwreck is too far"
"OW/CombatWindow/CombatTooClose","You are too close to combat center"
"OW/CombatWindow/CantJoinCombatOfAlliedNations","Can't join combat between allied nations"
"OW/CombatWindow/CantJoinBRLimitExceeded","You can't join combat. BR limit can't be exceeded. Your BR: {0}"
"OW/CombatWindow/RBLimitReached","Battle rating limit reached."
"OW/CombatWindow/CantJoinBecauseOfBaseShip","You can't join combat on basic ship"
"OW/CombatWindow/CantJoinBecauseOfRate","You can't join combat. Your ship class is rank {0}"
"OW/CombatWindow/AttackerBRDifferenceTooHigh","Attacker battle rating difference is too high"
"OW/CombatWindow/AttackersCountLimit","Only {0} attackers allowed for hostility mission"
"OW/CombatWindow/CantJoinAttackerSideBRExceeded","You can't join attacker side. BR limit can't be exceeded. Your BR: {0}"
"OW/CombatWindow/DefenderBRDifferenceTooHigh","Defender battle rating difference is too high"
"OW/CombatWindow/DefendersCountLimit","Only {0} defenders allowed for hostility mission"
"OW/CombatWindow/CantJoinDefenderSideBRExceeded","You can't join defender side. BR limit can't be exceeded. Your BR: {0}"
"OW/CombatWindow/BattleIsClosed","Battle is closed"
"OW/CombatWindow/YouCantUseEventsFor","You can't use events for {0} more seconds"
"OW/MegaShipWreck/PickedUp","Picked up x{0} {1}"
"OW/Events/JoinAlone","Join Alone"
"OW/Events/JoinAsGroup","Join As Group"
"OW/Events/PreparingForCombat","Preparing for combat.. {0}s"
"OW/Events/Epic/Requirements","Epic combat:
Only ships rank {0} are allowed for this mission.
Max group size: 6"
"OW/Events/Personal/PreparingForCombat","Preparing for combat.. {0}s"
"OW/Events/Personal/HostilityOrder","Hostility Order"
"OW/Events/Personal/CombatOrder","Combat Order"
"OW/Events/Personal/FleetOrder","Fleet Order"
"OW/Events/Combat/Title","Epic Event"
"OW/Events/Combat/Information","Epic combat
Max group size: {0}"
"OW/Events/Combat/NotAllowedShipClass","Only ships rank {0} are allowed for this mission"
"OW/Events/Fishing/Title","Fishing spot"
"OW/Events/Fishing/Active","Currently fishing..."
"OW/Events/Fishing/Available","Fishing available"
"OW/Events/Fishing/Start","Drop fishing nets"
"OW/Events/Exploration/Title","Exploration Area"
"OW/Events/Exploration/Information","Exploration team ready"
"OW/Events/Exploration/Start","Send team"
"OW/Events/PointOfInterest/TitleDefault","PoI"
"OW/Events/PointOfInterest/TitleShipWreck","Shipwreck"
"OW/Events/PointOfInterest/Explore","Explore"
"OW/Events/PointOfInterest/Take","Take"
"OW/Events/PointOfInterest/PickingUp","Picking up goods..."
"OW/Events/MegaShipWreck/Title","Abandoned Fleet Ship"
"OW/Events/MegaShipWreck/Start","Inspect"
"OW/Events/PointOfInterest/MaxPlayersCountLimit","Only {0} or less players can enter epic event"
"OW/Events/Combat/MaxPlayersCountLimit","Only {0} or less ships can join this combat"
"OW/Events/GroupMembersAllowedToJoin","Group members which are able to join this order:"
"OW/Events/NotAllGroupMembersAllowedToJoinContinue","Not all group members are able to join this event, are you sure that you want to start it?"
"OW/Events/Fishing/CaughtSomeFish","You caught some fish..."
"OW/Events/Fishing/CaughtNothing","You caught nothing..."
"OW/Events/Combat/Error/AlreadyUsed","Combat event already used"
"OW/Events/Combat/Error/AlreadyInCombat","Already in combat.."
"OW/Events/Fishing/Error/AlreadyFishing","Already fishing.."
"OW/UpgradesChest/TypeCaption","Type"
"OW/UpgradesChest/NameCaption","Name"
"OW/UpgradesChest/CountCaption","#"
"OW/Trade/MakeOfferButton","Make offer"
"OW/Trade/CancelTradeButton","Cancel trade"
"OW/Trade/CancelOfferButton","Cancel offer"
"OW/Trade/AcceptTradeButton","Accept trade"
"OW/Trade/RemoveButton","Remove"
"OW/Trade/Weight","Weight: {0}"
"OW/Trade/TargetTooFar","Trade target is too far"
"OW/Trade/NotTradeableItems","Cannot be traded items:
{0}"
"OW/Trade/TradeAllowedPrivateMessage","Let's trade?"
"OW/Trade/Error/Failed","Trade failed"
"OW/Trade/Error/PlayedDoesntHaveItems","{0} doesn't have offered item"
"OW/Trade/Invitation/Title","{0} invited you for trade"
"OW/Trade/Invitation/Message","Trade with {0}?"
"OW/Trade/Invitation/Cancelled","Trade cancelled"
"OW/Trade/Error/AlreadyTradingWith","You currently trade with player {0}"
"OW/Trade/Error/OfferNotAvailablePlayerTrading","Trade offer is not available anymore, player already trading"
"OW/Trade/Error/OfferNotAvailable","Trade offer is not available anymore"
"OW/Trade/TradeWith","Trade with {0}"
"OW/Trade/Succeed","Successfully traded"
"OW/Trade/Error/UnableToInvite","Unable to invite for trade"
"OW/Trade/Error/NotInTheSamePort","You need to be in a same port for trade"
"OW/Trade/Error/NotTheSameNation","You need to be same nation for trade"
"OW/Trade/Error/NoTradeOffer","No trade offer"
"OW/Trade/Error/NotCorrectPlayer","Offer been made from other player"
"OW/Trade/Error/NotEnough","{0} doesn't have enough {1}"
"OW/Trade/Error/NegativeAmount","{0} offered negative Množství of {1}"
"OW/Trade/Error/NoOfferedShip","{0} doesn't have offered ship"
"OW/Trade/Error/OfferingShipWithCrew","Ship with crew on it can't be traded"
"OW/Trade/Error/OfferedShipModified","{0} modified offered ship"
"OW/Trade/Error/OfferedItemForbiddenForTrade","{0} offered item forbidden for trade"
"OW/Trade/Error/NoSpaceInShip","{0} doesn't have enough space in ship"
"OW/Trade/Error/NoSpaceInWarehouse","{0} doesn't have enough space in warehouse"
"OW/Trade/Error/NoOutposts","{0} doesn't have outpost, can't trade ship"
"OW/Trade/Error/NoSpaceInDocks","{0} doesn't have enough space in docks"
"OW/Trade/Error/AlreadyTrading","Player is currently trading"
"OW/Trade/RemoveFromTradeButton","Remove from trade"
"OW/Trade/HisOfferLabel","His Offer"
"OW/Trade/YourOfferLabel","Your Offer"
"OW/Trade/TradeShipButton","Trade Ship"
"OW/Trade/ShipInfo","To add ship into Trade - Right click on ship in Navy window and choose 'Send to trade' option"
"OW/Events/Fishing/Error/ShipIsOverloaded","Can't enable fishing - ship is overloaded"
"OW/TowToPort/Title","Tow to port?"
"OW/TowToPort/Message","Are you sure that you want to tow a ship to the port?"
"OW/Events/InspectingHold","Inspecting Nákladový prostor..."
"OW/BattleJoin/Error/BRDifference","Attack failed: BR difference too high"
"OW/BattleJoin/Error/CantStartPVPOnBasic","Attack failed: cannot start PvP battle on basic ship"
"OW/BattleJoin/Error/CantStartOutlawOnBasic","Attack failed: cannot start outlaw battle on basic ship"
